ClusterID,Recency,Frequency,Monetary,AverageOrderValue,TotalQuantity,ReturnRate,AverageDiscount,CustomerLifespan,CustomerCount,PercentShare,ClusterName
0,280.29,1.25,870.64,710.59,4.71,0.05,0.1,42.93,6054,8.2,Deal Seekers & Bargain Shoppers
1,38.41,13.97,26794.86,1957.93,83.68,0.13,0.08,621.58,25680,34.79,High-Value VIPs
2,389.36,1.17,2864.22,2511.69,7.97,0.07,0.06,17.94,9429,12.78,Dormant Occasional Buyers
3,122.65,3.94,7111.07,1871.24,22.8,0.11,0.08,414.1,29892,40.5,Deal Seekers & Bargain Shoppers (Cohort 4)
4,253.26,1.85,3160.14,1718.57,10.32,0.68,0.08,144.67,2752,3.73,Deal Seekers & Bargain Shoppers (Cohort 5)
